np_previous_word,np_one_word,np_one_word_next,np_two_word,np_two_word_next,np_three_word,np_three_word_next
for,a,prize,"('a', 'prize')",so,"('a', 'prize', 'so')",dear
a,prize,so,"('prize', 'so')",dear,"('prize', 'so', 'dear')",
prize,so,dear,"('so', 'dear')",,"('so', 'dear', '')","
"
"
",against,that,"('against', 'that')",time,"('against', 'that', 'time')",
against,that,time,"('that', 'time')",,"('that', 'time', '')",if
that,time,,"('time', '')",if,"('time', '', 'if')",ever
time,,if,"('', 'if')",ever,"('', 'if', 'ever')",that
,if,ever,"('if', 'ever')",that,"('if', 'ever', 'that')",time
if,ever,that,"('ever', 'that')",time,"('ever', 'that', 'time')",come
ever,that,time,"('that', 'time')",come,"('that', 'time', 'come')",
that,time,come,"('time', 'come')",,"('time', 'come', '')","
"
time,come,,"('come', '')","
","
","
"
come,,"
","
","
","
","
"
"
",when,i,"('when', 'i')",shall,"('when', 'i', 'shall')",see
when,i,shall,"('i', 'shall')",see,"('i', 'shall', 'see')",thee
i,shall,see,"('shall', 'see')",thee,"('shall', 'see', 'thee')",frown
shall,see,thee,"('see', 'thee')",frown,"('see', 'thee', 'frown')",on
see,thee,frown,"('thee', 'frown')",on,"('thee', 'frown', 'on')",my
thee,frown,on,"('frown', 'on')",my,"('frown', 'on', 'my')",defects
frown,on,my,"('on', 'my')",defects,"('on', 'my', 'defects')",
on,my,defects,"('my', 'defects')",,"('my', 'defects', '')","
"
my,defects,,"('defects', '')","
","
","
"
defects,,"
","
","
","
","
"
"
",when,as,"('when', 'as')",thy,"('when', 'as', 'thy')",love
when,as,thy,"('as', 'thy')",love,"('as', 'thy', 'love')",hath
as,thy,love,"('thy', 'love')",hath,"('thy', 'love', 'hath')",cast
thy,love,hath,"('love', 'hath')",cast,"('love', 'hath', 'cast')",his
love,hath,cast,"('hath', 'cast')",his,"('hath', 'cast', 'his')",utmost
hath,cast,his,"('cast', 'his')",utmost,"('cast', 'his', 'utmost')",sum
cast,his,utmost,"('his', 'utmost')",sum,"('his', 'utmost', 'sum')",
his,utmost,sum,"('utmost', 'sum')",,"('utmost', 'sum', '')","
"
utmost,sum,,"('sum', '')","
","
","
"
sum,,"
","
","
","
","
"
"
",call'd,to,"(""call'd"", 'to')",that,"(""call'd"", 'to', 'that')",audit
call'd,to,that,"('to', 'that')",audit,"('to', 'that', 'audit')",by
to,that,audit,"('that', 'audit')",by,"('that', 'audit', 'by')",advised
that,audit,by,"('audit', 'by')",advised,"('audit', 'by', 'advised')",respects;
audit,by,advised,"('by', 'advised')",respects;,"('by', 'advised', 'respects;')","
"
by,advised,respects;,"('advised', 'respects;')","
","
","
"
advised,respects;,"
","
","
","
","
"
"
",against,that,"('against', 'that')",time,"('against', 'that', 'time')",when
against,that,time,"('that', 'time')",when,"('that', 'time', 'when')",thou
that,time,when,"('time', 'when')",thou,"('time', 'when', 'thou')",shalt
time,when,thou,"('when', 'thou')",shalt,"('when', 'thou', 'shalt')",strangely
when,thou,shalt,"('thou', 'shalt')",strangely,"('thou', 'shalt', 'strangely')",pass
thou,shalt,strangely,"('shalt', 'strangely')",pass,"('shalt', 'strangely', 'pass')","
"
shalt,strangely,pass,"('strangely', 'pass')","
","
","
"
strangely,pass,"
","
","
","
","
"
"
",and,scarcely,"('and', 'scarcely')",greet,"('and', 'scarcely', 'greet')",me
and,scarcely,greet,"('scarcely', 'greet')",me,"('scarcely', 'greet', 'me')",with
scarcely,greet,me,"('greet', 'me')",with,"('greet', 'me', 'with')",that
greet,me,with,"('me', 'with')",that,"('me', 'with', 'that')",sun
me,with,that,"('with', 'that')",sun,"('with', 'that', 'sun')",thine
with,that,sun,"('that', 'sun')",thine,"('that', 'sun', 'thine')",eye
that,sun,thine,"('sun', 'thine')",eye,"('sun', 'thine', 'eye')",
sun,thine,eye,"('thine', 'eye')",,"('thine', 'eye', '')","
"
thine,eye,,"('eye', '')","
","
","
"
eye,,"
","
","
","
","
"
"
",when,love,"('when', 'love')",,"('when', 'love', '')",converted
when,love,,"('love', '')",converted,"('love', '', 'converted')",from
love,,converted,"('', 'converted')",from,"('', 'converted', 'from')",the
,converted,from,"('converted', 'from')",the,"('converted', 'from', 'the')",thing
converted,from,the,"('from', 'the')",thing,"('from', 'the', 'thing')",it
from,the,thing,"('the', 'thing')",it,"('the', 'thing', 'it')",was
the,thing,it,"('thing', 'it')",was,"('thing', 'it', 'was')",
thing,it,was,"('it', 'was')",,"('it', 'was', '')","
"
it,was,,"('was', '')","
","
","
"
was,,"
","
","
","
","
"
"
",shall,reasons,"('shall', 'reasons')",find,"('shall', 'reasons', 'find')",of
shall,reasons,find,"('reasons', 'find')",of,"('reasons', 'find', 'of')",settled
reasons,find,of,"('find', 'of')",settled,"('find', 'of', 'settled')",gravity
find,of,settled,"('of', 'settled')",gravity,"('of', 'settled', 'gravity')",
of,settled,gravity,"('settled', 'gravity')",,"('settled', 'gravity', '')",
settled,gravity,,"('gravity', '')",,"('gravity', '', '')",
gravity,,,"('', '')",,"('', '', '')","
"
,,,"('', '')","
","
","
"
,,"
","
","
","
","
"
"
",against,that,"('against', 'that')",time,"('against', 'that', 'time')",do
against,that,time,"('that', 'time')",do,"('that', 'time', 'do')",i
that,time,do,"('time', 'do')",i,"('time', 'do', 'i')",ensconce
time,do,i,"('do', 'i')",ensconce,"('do', 'i', 'ensconce')",me
do,i,ensconce,"('i', 'ensconce')",me,"('i', 'ensconce', 'me')",here
i,ensconce,me,"('ensconce', 'me')",here,"('ensconce', 'me', 'here')","
"
ensconce,me,here,"('me', 'here')","
","
","
"
me,here,"
","
","
","
","
"
"
",within,the,"('within', 'the')",knowledge,"('within', 'the', 'knowledge')",of
within,the,knowledge,"('the', 'knowledge')",of,"('the', 'knowledge', 'of')",mine
the,knowledge,of,"('knowledge', 'of')",mine,"('knowledge', 'of', 'mine')",own
knowledge,of,mine,"('of', 'mine')",own,"('of', 'mine', 'own')",desert
of,mine,own,"('mine', 'own')",desert,"('mine', 'own', 'desert')",
mine,own,desert,"('own', 'desert')",,"('own', 'desert', '')","
"
own,desert,,"('desert', '')","
","
","
"
desert,,"
","
","
","
","
"
"
",and,this,"('and', 'this')",my,"('and', 'this', 'my')",hand
and,this,my,"('this', 'my')",hand,"('this', 'my', 'hand')",against
this,my,hand,"('my', 'hand')",against,"('my', 'hand', 'against')",myself
my,hand,against,"('hand', 'against')",myself,"('hand', 'against', 'myself')",uprear
hand,against,myself,"('against', 'myself')",uprear,"('against', 'myself', 'uprear')",
against,myself,uprear,"('myself', 'uprear')",,"('myself', 'uprear', '')","
"
myself,uprear,,"('uprear', '')","
","
","
"
uprear,,"
","
","
","
","
"
"
",to,guard,"('to', 'guard')",the,"('to', 'guard', 'the')",lawful
to,guard,the,"('guard', 'the')",lawful,"('guard', 'the', 'lawful')",reasons
guard,the,lawful,"('the', 'lawful')",reasons,"('the', 'lawful', 'reasons')",on
the,lawful,reasons,"('lawful', 'reasons')",on,"('lawful', 'reasons', 'on')",thy
lawful,reasons,on,"('reasons', 'on')",thy,"('reasons', 'on', 'thy')",part
reasons,on,thy,"('on', 'thy')",part,"('on', 'thy', 'part')",
on,thy,part,"('thy', 'part')",,"('thy', 'part', '')","
"
thy,part,,"('part', '')","
","
","
"
part,,"
","
","
","
","
"
"
",,,"('', '')",to,"('', '', 'to')",leave
,,to,"('', 'to')",leave,"('', 'to', 'leave')",poor
,to,leave,"('to', 'leave')",poor,"('to', 'leave', 'poor')",me
to,leave,poor,"('leave', 'poor')",me,"('leave', 'poor', 'me')",thou
leave,poor,me,"('poor', 'me')",thou,"('poor', 'me', 'thou')",hast
poor,me,thou,"('me', 'thou')",hast,"('me', 'thou', 'hast')",the
me,thou,hast,"('thou', 'hast')",the,"('thou', 'hast', 'the')",strength
thou,hast,the,"('hast', 'the')",strength,"('hast', 'the', 'strength')",of
hast,the,strength,"('the', 'strength')",of,"('the', 'strength', 'of')",laws
the,strength,of,"('strength', 'of')",laws,"('strength', 'of', 'laws')",
strength,of,laws,"('of', 'laws')",,"('of', 'laws', '')","
"
"
",,,"('', '')",since,"('', '', 'since')",why
,,since,"('', 'since')",why,"('', 'since', 'why')",to
,since,why,"('since', 'why')",to,"('since', 'why', 'to')",love
since,why,to,"('why', 'to')",love,"('why', 'to', 'love')",i
why,to,love,"('to', 'love')",i,"('to', 'love', 'i')",can
to,love,i,"('love', 'i')",can,"('love', 'i', 'can')",allege
love,i,can,"('i', 'can')",allege,"('i', 'can', 'allege')",no
i,can,allege,"('can', 'allege')",no,"('can', 'allege', 'no')",cause
can,allege,no,"('allege', 'no')",cause,"('allege', 'no', 'cause')",
allege,no,cause,"('no', 'cause')",,"('no', 'cause', '')","
"
"
",how,heavy,"('how', 'heavy')",do,"('how', 'heavy', 'do')",i
how,heavy,do,"('heavy', 'do')",i,"('heavy', 'do', 'i')",journey
heavy,do,i,"('do', 'i')",journey,"('do', 'i', 'journey')",on
do,i,journey,"('i', 'journey')",on,"('i', 'journey', 'on')",the
i,journey,on,"('journey', 'on')",the,"('journey', 'on', 'the')",way
journey,on,the,"('on', 'the')",way,"('on', 'the', 'way')",
on,the,way,"('the', 'way')",,"('the', 'way', '')","
"
the,way,,"('way', '')","
","
","
"
way,,"
","
","
","
","
"
"
",when,what,"('when', 'what')",i,"('when', 'what', 'i')",seek
when,what,i,"('what', 'i')",seek,"('what', 'i', 'seek')",
what,i,seek,"('i', 'seek')",,"('i', 'seek', '')",my
i,seek,,"('seek', '')",my,"('seek', '', 'my')",weary
seek,,my,"('', 'my')",weary,"('', 'my', 'weary')",travel's
,my,weary,"('my', 'weary')",travel's,"('my', 'weary', ""travel's"")",end
my,weary,travel's,"('weary', ""travel's"")",end,"('weary', ""travel's"", 'end')",
weary,travel's,end,"(""travel's"", 'end')",,"(""travel's"", 'end', '')","
"
travel's,end,,"('end', '')","
","
","
"
end,,"
","
","
","
","
"
"
",doth,teach,"('doth', 'teach')",that,"('doth', 'teach', 'that')",ease
doth,teach,that,"('teach', 'that')",ease,"('teach', 'that', 'ease')",and
teach,that,ease,"('that', 'ease')",and,"('that', 'ease', 'and')",that
that,ease,and,"('ease', 'and')",that,"('ease', 'and', 'that')",repose
ease,and,that,"('and', 'that')",repose,"('and', 'that', 'repose')",to
and,that,repose,"('that', 'repose')",to,"('that', 'repose', 'to')",say
that,repose,to,"('repose', 'to')",say,"('repose', 'to', 'say')","
"
repose,to,say,"('to', 'say')","
","
","
"
to,say,"
","
","
","
","
"
"
",'thus,far,"(""'thus"", 'far')",the,"(""'thus"", 'far', 'the')",miles
'thus,far,the,"('far', 'the')",miles,"('far', 'the', 'miles')",are
far,the,miles,"('the', 'miles')",are,"('the', 'miles', 'are')",measured
the,miles,are,"('miles', 'are')",measured,"('miles', 'are', 'measured')",from
miles,are,measured,"('are', 'measured')",from,"('are', 'measured', 'from')",thy
are,measured,from,"('measured', 'from')",thy,"('measured', 'from', 'thy')",friend!'
measured,from,thy,"('from', 'thy')",friend!',"('from', 'thy', ""friend!'"")","
"
from,thy,friend!',"('thy', ""friend!'"")","
","
","
"
thy,friend!',"
","
","
","
","
"
"
",the,beast,"('the', 'beast')",that,"('the', 'beast', 'that')",bears
the,beast,that,"('beast', 'that')",bears,"('beast', 'that', 'bears')",me
beast,that,bears,"('that', 'bears')",me,"('that', 'bears', 'me')",
that,bears,me,"('bears', 'me')",,"('bears', 'me', '')",tired
bears,me,,"('me', '')",tired,"('me', '', 'tired')",with
me,,tired,"('', 'tired')",with,"('', 'tired', 'with')",my
,tired,with,"('tired', 'with')",my,"('tired', 'with', 'my')",woe
tired,with,my,"('with', 'my')",woe,"('with', 'my', 'woe')",
with,my,woe,"('my', 'woe')",,"('my', 'woe', '')","
"
my,woe,,"('woe', '')","
","
","
"
woe,,"
","
","
","
","
"
"
",plods,dully,"('plods', 'dully')",on,"('plods', 'dully', 'on')",
plods,dully,on,"('dully', 'on')",,"('dully', 'on', '')",to
dully,on,,"('on', '')",to,"('on', '', 'to')",bear
on,,to,"('', 'to')",bear,"('', 'to', 'bear')",that
,to,bear,"('to', 'bear')",that,"('to', 'bear', 'that')",weight
to,bear,that,"('bear', 'that')",weight,"('bear', 'that', 'weight')",in
bear,that,weight,"('that', 'weight')",in,"('that', 'weight', 'in')",me
that,weight,in,"('weight', 'in')",me,"('weight', 'in', 'me')",
weight,in,me,"('in', 'me')",,"('in', 'me', '')","
"
in,me,,"('me', '')","
","
","
"
me,,"
","
","
","
","
"
"
",as,if,"('as', 'if')",by,"('as', 'if', 'by')",some
as,if,by,"('if', 'by')",some,"('if', 'by', 'some')",instinct
if,by,some,"('by', 'some')",instinct,"('by', 'some', 'instinct')",the
by,some,instinct,"('some', 'instinct')",the,"('some', 'instinct', 'the')",wretch
some,instinct,the,"('instinct', 'the')",wretch,"('instinct', 'the', 'wretch')",did
instinct,the,wretch,"('the', 'wretch')",did,"('the', 'wretch', 'did')",know
the,wretch,did,"('wretch', 'did')",know,"('wretch', 'did', 'know')","
"
wretch,did,know,"('did', 'know')","
","
","
"
did,know,"
","
","
","
","
"
"
",his,rider,"('his', 'rider')",loved,"('his', 'rider', 'loved')",not
his,rider,loved,"('rider', 'loved')",not,"('rider', 'loved', 'not')",speed
rider,loved,not,"('loved', 'not')",speed,"('loved', 'not', 'speed')",
loved,not,speed,"('not', 'speed')",,"('not', 'speed', '')",being
not,speed,,"('speed', '')",being,"('speed', '', 'being')",made
speed,,being,"('', 'being')",made,"('', 'being', 'made')",from
,being,made,"('being', 'made')",from,"('being', 'made', 'from')",thee
being,made,from,"('made', 'from')",thee,"('made', 'from', 'thee')",
made,from,thee,"('from', 'thee')",,"('from', 'thee', '')","
"
from,thee,,"('thee', '')","
","
","
"
thee,,"
","
","
","
","
"
"
",the,bloody,"('the', 'bloody')",spur,"('the', 'bloody', 'spur')",cannot
the,bloody,spur,"('bloody', 'spur')",cannot,"('bloody', 'spur', 'cannot')",provoke
bloody,spur,cannot,"('spur', 'cannot')",provoke,"('spur', 'cannot', 'provoke')",him
spur,cannot,provoke,"('cannot', 'provoke')",him,"('cannot', 'provoke', 'him')",on
cannot,provoke,him,"('provoke', 'him')",on,"('provoke', 'him', 'on')","
"
provoke,him,on,"('him', 'on')","
","
","
"
him,on,"
","
","
","
","
"
"
",that,sometimes,"('that', 'sometimes')",anger,"('that', 'sometimes', 'anger')",thrusts
that,sometimes,anger,"('sometimes', 'anger')",thrusts,"('sometimes', 'anger', 'thrusts')",into
sometimes,anger,thrusts,"('anger', 'thrusts')",into,"('anger', 'thrusts', 'into')",his
anger,thrusts,into,"('thrusts', 'into')",his,"('thrusts', 'into', 'his')",hide;
thrusts,into,his,"('into', 'his')",hide;,"('into', 'his', 'hide;')","
"
into,his,hide;,"('his', 'hide;')","
","
","
"
his,hide;,"
","
","
","
","
"
"
",which,heavily,"('which', 'heavily')",he,"('which', 'heavily', 'he')",answers
which,heavily,he,"('heavily', 'he')",answers,"('heavily', 'he', 'answers')",with
heavily,he,answers,"('he', 'answers')",with,"('he', 'answers', 'with')",a
he,answers,with,"('answers', 'with')",a,"('answers', 'with', 'a')",groan
answers,with,a,"('with', 'a')",groan,"('with', 'a', 'groan')",
with,a,groan,"('a', 'groan')",,"('a', 'groan', '')","
"
a,groan,,"('groan', '')","
","
","
"
groan,,"
","
","
","
","
"
"
",more,sharp,"('more', 'sharp')",to,"('more', 'sharp', 'to')",me
more,sharp,to,"('sharp', 'to')",me,"('sharp', 'to', 'me')",than
sharp,to,me,"('to', 'me')",than,"('to', 'me', 'than')",spurring
to,me,than,"('me', 'than')",spurring,"('me', 'than', 'spurring')",to
me,than,spurring,"('than', 'spurring')",to,"('than', 'spurring', 'to')",his
than,spurring,to,"('spurring', 'to')",his,"('spurring', 'to', 'his')",side;
spurring,to,his,"('to', 'his')",side;,"('to', 'his', 'side;')","
"
to,his,side;,"('his', 'side;')","
","
","
"
his,side;,"
","
","
","
","
"
"
",,,"('', '')",for,"('', '', 'for')",that
,,for,"('', 'for')",that,"('', 'for', 'that')",same
,for,that,"('for', 'that')",same,"('for', 'that', 'same')",groan
for,that,same,"('that', 'same')",groan,"('that', 'same', 'groan')",doth
that,same,groan,"('same', 'groan')",doth,"('same', 'groan', 'doth')",put
same,groan,doth,"('groan', 'doth')",put,"('groan', 'doth', 'put')",this
groan,doth,put,"('doth', 'put')",this,"('doth', 'put', 'this')",in
doth,put,this,"('put', 'this')",in,"('put', 'this', 'in')",my
put,this,in,"('this', 'in')",my,"('this', 'in', 'my')",mind;
this,in,my,"('in', 'my')",mind;,"('in', 'my', 'mind;')","
"
in,my,mind;,"('my', 'mind;')","
","
","
"
"
",,,"('', '')",my,"('', '', 'my')",grief
,,my,"('', 'my')",grief,"('', 'my', 'grief')",lies
,my,grief,"('my', 'grief')",lies,"('my', 'grief', 'lies')",onward
my,grief,lies,"('grief', 'lies')",onward,"('grief', 'lies', 'onward')",and
grief,lies,onward,"('lies', 'onward')",and,"('lies', 'onward', 'and')",my
lies,onward,and,"('onward', 'and')",my,"('onward', 'and', 'my')",joy
onward,and,my,"('and', 'my')",joy,"('and', 'my', 'joy')",behind
and,my,joy,"('my', 'joy')",behind,"('my', 'joy', 'behind')",
my,joy,behind,"('joy', 'behind')",,"('joy', 'behind', '')","
"
"
",thus,can,"('thus', 'can')",my,"('thus', 'can', 'my')",love
thus,can,my,"('can', 'my')",love,"('can', 'my', 'love')",excuse
can,my,love,"('my', 'love')",excuse,"('my', 'love', 'excuse')",the
my,love,excuse,"('love', 'excuse')",the,"('love', 'excuse', 'the')",slow
love,excuse,the,"('excuse', 'the')",slow,"('excuse', 'the', 'slow')",offence
excuse,the,slow,"('the', 'slow')",offence,"('the', 'slow', 'offence')","
"
the,slow,offence,"('slow', 'offence')","
","
","
"
slow,offence,"
","
","
","
","
"
"
",of,my,"('of', 'my')",dull,"('of', 'my', 'dull')",bearer
of,my,dull,"('my', 'dull')",bearer,"('my', 'dull', 'bearer')",when
my,dull,bearer,"('dull', 'bearer')",when,"('dull', 'bearer', 'when')",from
dull,bearer,when,"('bearer', 'when')",from,"('bearer', 'when', 'from')",thee
bearer,when,from,"('when', 'from')",thee,"('when', 'from', 'thee')",i
when,from,thee,"('from', 'thee')",i,"('from', 'thee', 'i')",speed
from,thee,i,"('thee', 'i')",speed,"('thee', 'i', 'speed')",
thee,i,speed,"('i', 'speed')",,"('i', 'speed', '')","
"
i,speed,,"('speed', '')","
","
","
"
speed,,"
","
","
","
","
"
"
",from,where,"('from', 'where')",thou,"('from', 'where', 'thou')",art
from,where,thou,"('where', 'thou')",art,"('where', 'thou', 'art')",why
where,thou,art,"('thou', 'art')",why,"('thou', 'art', 'why')",should
thou,art,why,"('art', 'why')",should,"('art', 'why', 'should')",i
art,why,should,"('why', 'should')",i,"('why', 'should', 'i')",haste
why,should,i,"('should', 'i')",haste,"('should', 'i', 'haste')",me
should,i,haste,"('i', 'haste')",me,"('i', 'haste', 'me')",thence?
i,haste,me,"('haste', 'me')",thence?,"('haste', 'me', 'thence?')","
"
haste,me,thence?,"('me', 'thence?')","
","
","
"
me,thence?,"
","
","
","
","
"
"
",till,i,"('till', 'i')",return,"('till', 'i', 'return')",
till,i,return,"('i', 'return')",,"('i', 'return', '')",of
i,return,,"('return', '')",of,"('return', '', 'of')",posting
return,,of,"('', 'of')",posting,"('', 'of', 'posting')",is
,of,posting,"('of', 'posting')",is,"('of', 'posting', 'is')",no
of,posting,is,"('posting', 'is')",no,"('posting', 'is', 'no')",need
posting,is,no,"('is', 'no')",need,"('is', 'no', 'need')",
is,no,need,"('no', 'need')",,"('no', 'need', '')","
"
no,need,,"('need', '')","
","
","
"
need,,"
","
","
","
","
"
"
",o,,"('o', '')",what,"('o', '', 'what')",excuse
o,,what,"('', 'what')",excuse,"('', 'what', 'excuse')",will
,what,excuse,"('what', 'excuse')",will,"('what', 'excuse', 'will')",my
what,excuse,will,"('excuse', 'will')",my,"('excuse', 'will', 'my')",poor
excuse,will,my,"('will', 'my')",poor,"('will', 'my', 'poor')",beast
will,my,poor,"('my', 'poor')",beast,"('my', 'poor', 'beast')",then
my,poor,beast,"('poor', 'beast')",then,"('poor', 'beast', 'then')",find
poor,beast,then,"('beast', 'then')",find,"('beast', 'then', 'find')",
beast,then,find,"('then', 'find')",,"('then', 'find', '')","
"
then,find,,"('find', '')","
","
","
"
find,,"
","
","
","
","
"
"
",when,swift,"('when', 'swift')",extremity,"('when', 'swift', 'extremity')",can
when,swift,extremity,"('swift', 'extremity')",can,"('swift', 'extremity', 'can')",seem
swift,extremity,can,"('extremity', 'can')",seem,"('extremity', 'can', 'seem')",but
extremity,can,seem,"('can', 'seem')",but,"('can', 'seem', 'but')",slow?
can,seem,but,"('seem', 'but')",slow?,"('seem', 'but', 'slow?')","
"
seem,but,slow?,"('but', 'slow?')","
","
","
"
but,slow?,"
","
","
","
","
"
"
",then,should,"('then', 'should')",i,"('then', 'should', 'i')",spur
then,should,i,"('should', 'i')",spur,"('should', 'i', 'spur')",
should,i,spur,"('i', 'spur')",,"('i', 'spur', '')",though
i,spur,,"('spur', '')",though,"('spur', '', 'though')",mounted
spur,,though,"('', 'though')",mounted,"('', 'though', 'mounted')",on
,though,mounted,"('though', 'mounted')",on,"('though', 'mounted', 'on')",the
though,mounted,on,"('mounted', 'on')",the,"('mounted', 'on', 'the')",wind;
mounted,on,the,"('on', 'the')",wind;,"('on', 'the', 'wind;')","
"
on,the,wind;,"('the', 'wind;')","
","
","
"
the,wind;,"
","
","
","
","
"
"
",in,winged,"('in', 'winged')",speed,"('in', 'winged', 'speed')",no
in,winged,speed,"('winged', 'speed')",no,"('winged', 'speed', 'no')",motion
winged,speed,no,"('speed', 'no')",motion,"('speed', 'no', 'motion')",shall
speed,no,motion,"('no', 'motion')",shall,"('no', 'motion', 'shall')",i
no,motion,shall,"('motion', 'shall')",i,"('motion', 'shall', 'i')",know
motion,shall,i,"('shall', 'i')",know,"('shall', 'i', 'know')",
shall,i,know,"('i', 'know')",,"('i', 'know', '')","
"
i,know,,"('know', '')","
","
","
"
know,,"
","
","
","
","
"
"
",then,can,"('then', 'can')",no,"('then', 'can', 'no')",horse
then,can,no,"('can', 'no')",horse,"('can', 'no', 'horse')",with
can,no,horse,"('no', 'horse')",with,"('no', 'horse', 'with')",my
no,horse,with,"('horse', 'with')",my,"('horse', 'with', 'my')",desire
horse,with,my,"('with', 'my')",desire,"('with', 'my', 'desire')",keep
with,my,desire,"('my', 'desire')",keep,"('my', 'desire', 'keep')",pace;
my,desire,keep,"('desire', 'keep')",pace;,"('desire', 'keep', 'pace;')","
"
desire,keep,pace;,"('keep', 'pace;')","
","
","
"
keep,pace;,"
","
","
","
","
"
"
",therefore,desire,"('therefore', 'desire')",of,"('therefore', 'desire', 'of')",perfect'st
therefore,desire,of,"('desire', 'of')",perfect'st,"('desire', 'of', ""perfect'st"")",love
desire,of,perfect'st,"('of', ""perfect'st"")",love,"('of', ""perfect'st"", 'love')",being
of,perfect'st,love,"(""perfect'st"", 'love')",being,"(""perfect'st"", 'love', 'being')",made
perfect'st,love,being,"('love', 'being')",made,"('love', 'being', 'made')",
love,being,made,"('being', 'made')",,"('being', 'made', '')","
"
being,made,,"('made', '')","
","
","
"
made,,"
","
","
","
","
"
"
",shall,neigh,"('shall', 'neigh')",,"('shall', 'neigh', '')",no
shall,neigh,,"('neigh', '')",no,"('neigh', '', 'no')",dull
neigh,,no,"('', 'no')",dull,"('', 'no', 'dull')",flesh
,no,dull,"('no', 'dull')",flesh,"('no', 'dull', 'flesh')",
no,dull,flesh,"('dull', 'flesh')",,"('dull', 'flesh', '')",in
dull,flesh,,"('flesh', '')",in,"('flesh', '', 'in')",his
flesh,,in,"('', 'in')",his,"('', 'in', 'his')",fiery
,in,his,"('in', 'his')",fiery,"('in', 'his', 'fiery')",race;
in,his,fiery,"('his', 'fiery')",race;,"('his', 'fiery', 'race;')","
"
his,fiery,race;,"('fiery', 'race;')","
","
","
"
fiery,race;,"
","
","
","
","
"
"
",but,love,"('but', 'love')",,"('but', 'love', '')",for
but,love,,"('love', '')",for,"('love', '', 'for')",love
love,,for,"('', 'for')",love,"('', 'for', 'love')",
,for,love,"('for', 'love')",,"('for', 'love', '')",thus
for,love,,"('love', '')",thus,"('love', '', 'thus')",shall
love,,thus,"('', 'thus')",shall,"('', 'thus', 'shall')",excuse
,thus,shall,"('thus', 'shall')",excuse,"('thus', 'shall', 'excuse')",my
thus,shall,excuse,"('shall', 'excuse')",my,"('shall', 'excuse', 'my')",jade;
shall,excuse,my,"('excuse', 'my')",jade;,"('excuse', 'my', 'jade;')","
"
excuse,my,jade;,"('my', 'jade;')","
","
","
"
my,jade;,"
","
","
","
","
"
"
",,,"('', '')",since,"('', '', 'since')",from
,,since,"('', 'since')",from,"('', 'since', 'from')",thee
,since,from,"('since', 'from')",thee,"('since', 'from', 'thee')",going
since,from,thee,"('from', 'thee')",going,"('from', 'thee', 'going')",he
from,thee,going,"('thee', 'going')",he,"('thee', 'going', 'he')",went
thee,going,he,"('going', 'he')",went,"('going', 'he', 'went')",wilful
going,he,went,"('he', 'went')",wilful,"('he', 'went', 'wilful')",slow
he,went,wilful,"('went', 'wilful')",slow,"('went', 'wilful', 'slow')",
went,wilful,slow,"('wilful', 'slow')",,"('wilful', 'slow', '')","
"
wilful,slow,,"('slow', '')","
","
","
"
"
",,,"('', '')",towards,"('', '', 'towards')",thee
,,towards,"('', 'towards')",thee,"('', 'towards', 'thee')",i'll
,towards,thee,"('towards', 'thee')",i'll,"('towards', 'thee', ""i'll"")",run
towards,thee,i'll,"('thee', ""i'll"")",run,"('thee', ""i'll"", 'run')",
thee,i'll,run,"(""i'll"", 'run')",,"(""i'll"", 'run', '')",and
i'll,run,,"('run', '')",and,"('run', '', 'and')",give
run,,and,"('', 'and')",give,"('', 'and', 'give')",him
,and,give,"('and', 'give')",him,"('and', 'give', 'him')",leave
and,give,him,"('give', 'him')",leave,"('give', 'him', 'leave')",to
give,him,leave,"('him', 'leave')",to,"('him', 'leave', 'to')",go
him,leave,to,"('leave', 'to')",go,"('leave', 'to', 'go')",
leave,to,go,"('to', 'go')",,"('to', 'go', '')","
"
"
",so,am,"('so', 'am')",i,"('so', 'am', 'i')",as
so,am,i,"('am', 'i')",as,"('am', 'i', 'as')",the
am,i,as,"('i', 'as')",the,"('i', 'as', 'the')",rich
i,as,the,"('as', 'the')",rich,"('as', 'the', 'rich')",
as,the,rich,"('the', 'rich')",,"('the', 'rich', '')",whose
the,rich,,"('rich', '')",whose,"('rich', '', 'whose')",blessed
rich,,whose,"('', 'whose')",blessed,"('', 'whose', 'blessed')",key
,whose,blessed,"('whose', 'blessed')",key,"('whose', 'blessed', 'key')","
"
whose,blessed,key,"('blessed', 'key')","
","
","
"
blessed,key,"
","
","
","
","
"
"
",can,bring,"('can', 'bring')",him,"('can', 'bring', 'him')",to
can,bring,him,"('bring', 'him')",to,"('bring', 'him', 'to')",his
bring,him,to,"('him', 'to')",his,"('him', 'to', 'his')",sweet
him,to,his,"('to', 'his')",sweet,"('to', 'his', 'sweet')",up
to,his,sweet,"('his', 'sweet')",up,"('his', 'sweet', 'up')",locked
his,sweet,up,"('sweet', 'up')",locked,"('sweet', 'up', 'locked')",treasure
sweet,up,locked,"('up', 'locked')",treasure,"('up', 'locked', 'treasure')",
up,locked,treasure,"('locked', 'treasure')",,"('locked', 'treasure', '')","
"
locked,treasure,,"('treasure', '')","
","
","
"
treasure,,"
","
","
","
","
"
"
",the,which,"('the', 'which')",he,"('the', 'which', 'he')",will
the,which,he,"('which', 'he')",will,"('which', 'he', 'will')",not
which,he,will,"('he', 'will')",not,"('he', 'will', 'not')",every
he,will,not,"('will', 'not')",every,"('will', 'not', 'every')",hour
